Jul  6 00:30:00 Drs-MacBook-Pro newsyslog[1057]: logfile turned over
Mon Jul  6 05:15:54.210 <kernel> payload Data 10 00 00 00 00 00 00 00 ee 55 d7 81 87 e3 00 00 20 00 00 00 87 42 a0 a7 f7 b8 8e a7 b1 70 d6 c8 e9 1a 89 a0 94 a3 bd ce 0b fd d6 bf 10 68 5d 27 11 3e bf 46 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 f7 7c 5b 75 50 ca b2 e8 61 67 e0 46 15 74 3b 7e 
Mon Jul  6 05:15:54.210 <kernel> Error storing postMessage 74
Mon Jul  6 05:15:57.200 <kernel> Unexpected payload found for message 9, dataLen 0
Mon Jul  6 05:15:57.200 <kernel> Error storing postMessage 9
Mon Jul  6 05:15:57.205 <kernel> en0: Terminating supplicant.
Mon Jul  6 05:15:57.205 <kernel> RSNSupplicant: Releasing authenticator for 00:00:00:00:00:00
Mon Jul  6 05:15:57.477 <kernel> parseRSNIE: groupCipherType = 5 pairwiseCipherType = 5 authSel = 8
Mon Jul  6 05:15:57.478 <kernel> initWithInterfaceAndIE: _myMacAddress 98:01:a7:af:6b:15
Mon Jul  6 05:15:57.478 <kernel> setPSKPMK: PMK SET!
Mon Jul  6 05:15:57.839 <kernel> Failed test for valid apple80211_postMessage_tlv_types in data, 65535
Mon Jul  6 05:15:57.839 <kernel> Message to APPLE80211_M_AUTH has PMK length 32 pmkid length 16
Mon Jul  6 05:15:57.839 <kernel> setPMK: PMK SET!
Mon Jul  6 05:15:57.839 <kernel> setPMK: PMKID SET!
Mon Jul  6 05:15:57.839 <kernel> Unexpected payload found for message 74, dataLen 104
Mon Jul  6 05:15:57.839 <kernel> payload Data ff ff 00 00 00 00 00 00 ee 55 d7 81 87 e3 00 00 20 00 00 00 9d ce cc 04 4c c7 eb f0 80 8a ae 13 91 21 11 f4 81 81 22 05 c9 f1 ca 47 55 8d 83 47 fe 55 bf dc 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 95 06 b1 29 72 50 25 da 9d af 94 76 3e ac 99 ae 
Mon Jul  6 05:15:57.839 <kernel> Error storing postMessage 74
Mon Jul  6 05:16:01.069 <airport[198]> ERROR: ControlCenter (405) is not entitled for com.apple.wifi.events, but allowing anyways for event type 2
Mon Jul  6 05:16:01.070 <airport[198]> ERROR: ControlCenter (405) is not entitled for com.apple.wifi.events, but allowing anyways for event type 3
Mon Jul  6 05:16:01.070 <airport[198]> ERROR: ControlCenter (405) is not entitled for com.apple.wifi.events, but allowing anyways for event type 1
Mon Jul  6 05:16:01.071 <airport[198]> ERROR: ControlCenter (405) is not entitled for com.apple.wifi.events, but allowing anyways for event type 5
Mon Jul  6 05:16:01.071 <airport[198]> ERROR: ControlCenter (405) is not entitled for com.apple.wifi.events, but allowing anyways for event type 7
Mon Jul  6 05:16:01.168 <airport[198]> Could not set property APPLE80211_REGKEY_AWDL_MAC_ADDRESS_IN_USE to 0
Mon Jul  6 05:16:01.503 <airport[198]> Could not set property APPLE80211_REGKEY_AWDL_MAC_ADDRESS_IN_USE to 0
Mon Jul  6 05:16:01.533 <kernel> Message to APPLE80211_M_AUTH has PMK length 32 pmkid length 16
Mon Jul  6 05:16:01.533 <kernel> setPMK: PMK SET!
Mon Jul  6 05:16:01.533 <kernel> setPMK: PMKID SET!
Mon Jul  6 05:16:01.533 <kernel> Unexpected payload found for message 74, dataLen 104
Mon Jul  6 05:16:01.533 <kernel> payload Data 10 00 00 00 00 00 00 00 ee 55 d7 81 87 e3 00 00 20 00 00 00 8a aa e8 2d 05 58 db e9 ed cc 0f 16 32 da d0 75 25 44 60 89 ba 9b e3 7e 53 a2 c9 ad 82 0d 19 93 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 43 b5 dc 45 27 f4 8d 5f e1 f6 67 c6 d0 a5 ae b7 
Mon Jul  6 05:16:01.533 <kernel> Error storing postMessage 74
Mon Jul  6 05:16:04.469 <kernel> Unexpected payload found for message 9, dataLen 0
Mon Jul  6 05:16:04.470 <kernel> Error storing postMessage 9
Mon Jul  6 05:16:04.474 <kernel> en0: Terminating supplicant.
Mon Jul  6 05:16:04.474 <kernel> RSNSupplicant: Releasing authenticator for 00:00:00:00:00:00
Mon Jul  6 05:16:04.734 <airport[198]> systemWokenByWiFi: System Wake Reason not found
Mon Jul  6 05:16:04.911 <kernel> parseRSNIE: groupCipherType = 5 pairwiseCipherType = 5 authSel = 8
Mon Jul  6 05:16:04.912 <kernel> initWithInterfaceAndIE: _myMacAddress 98:01:a7:af:6b:15
Mon Jul  6 05:16:04.912 <kernel> setPSKPMK: PMK SET!
Mon Jul  6 05:16:05.147 <kernel> Failed test for valid apple80211_postMessage_tlv_types in data, 65535
Mon Jul  6 05:16:05.150 <kernel> Message to APPLE80211_M_AUTH has PMK length 32 pmkid length 16
Mon Jul  6 05:16:05.150 <kernel> setPMK: PMK SET!
Mon Jul  6 05:16:05.151 <kernel> setPMK: PMKID SET!
Mon Jul  6 05:16:05.151 <kernel> Unexpected payload found for message 74, dataLen 104
Mon Jul  6 05:16:05.151 <kernel> payload Data ff ff 00 00 00 00 00 00 ee 55 d7 81 87 e3 00 00 20 00 00 00 90 a8 f7 89 2c d9 27 2f a0 6b 84 eb 01 81 2f b9 36 dc e3 9d 2e f2 06 47 0a 2f 7e cb c1 97 e4 2e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 a2 76 da 16 18 d9 e0 9e ea 8b 32 50 69 3f f2 3f 
Mon Jul  6 05:16:05.151 <kernel> Error storing postMessage 74
Mon Jul  6 05:16:08.758 <kernel> Message to APPLE80211_M_AUTH has PMK length 32 pmkid length 16
Mon Jul  6 05:16:08.758 <kernel> setPMK: PMK SET!
Mon Jul  6 05:16:08.758 <kernel> setPMK: PMKID SET!
Mon Jul  6 05:16:08.758 <kernel> Unexpected payload found for message 74, dataLen 104
Mon Jul  6 05:16:08.758 <kernel> payload Data 10 00 00 00 00 00 00 00 ee 55 d7 81 87 e3 00 00 20 00 00 00 bc ad a3 07 8b b2 e5 17 6f 11 36 56 3e 78 9b 84 81 5d 03 fd 45 9e 56 ef 24 61 10 82 bb 07 c7 bb 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 c1 a9 9f ca 97 eb a5 89 fe 93 e3 07 af 69 73 6c 
Mon Jul  6 05:16:08.758 <kernel> Error storing postMessage 74
Mon Jul  6 05:16:08.774 <kernel> postMessage::1412 APPLE80211_M_BSSID_CHANGED received
Mon Jul  6 05:16:08.774  <kernel> No InterfaceAverageCCA
Mon Jul  6 05:16:08.774 <kernel> Adding setInterfaceAverageCCA with cca 0
Mon Jul  6 05:16:08.774 <kernel> Added known cca 0 for channel 1 into setInterfaceAverageCCA 
Mon Jul  6 05:16:08.789 <kernel> Unexpected payload found for message 9, dataLen 0
Mon Jul  6 05:16:08.789 <kernel> Error storing postMessage 9
Mon Jul  6 05:16:08.879 <kernel> en0: Received EAPOL packet (length = 135)
Mon Jul  6 05:16:08.879 <kernel> inputEAPOLFrame: 0 extra bytes present in EAPOL frame.
Mon Jul  6 05:16:08.880 <kernel> inputEAPOLFrame: Received message 1 of 4
Mon Jul  6 05:16:08.880 <kernel> FULL RSN IE FOUND:
Mon Jul  6 05:16:08.880 [00000000] 30 18 01 00 00 0F AC 04 01 00 00 0F AC 04 02 00 00 0F AC 02 00 0F AC 08 8C 00 
Mon Jul  6 05:16:08.880 <kernel> storeFullRSNIE: getAP_IE_LIST returned 0
Mon Jul  6 05:16:08.880 <kernel> parseRSNIE: groupCipherType = 5 pairwiseCipherType = 5 authSel = 8
Mon Jul  6 05:16:08.880 <kernel> process1of4: authsel is 8
Mon Jul  6 05:16:08.880 <kernel> PMK:
Mon Jul  6 05:16:08.880 [00000000] BC AD A3 07 8B B2 E5 17 6F 11 36 56 3E 78 9B 84 81 5D 03 FD 45 9E 56 EF 24 61 10 82 BB 07 
Mon Jul  6 05:16:08.880 [0000001E] C7 BB 
Mon Jul  6 05:16:08.880 <kernel> TPTK:
Mon Jul  6 05:16:08.880 [00000000] 6C 3F 49 D3 49 3B C1 99 64 AF 09 B6 3B 5D 09 A3 7B 0B C5 61 1A 12 97 23 DA E9 34 61 6A C5 
Mon Jul  6 05:16:08.881 [0000001E] 02 3E 68 5A 0F A9 AC 33 8F F3 B8 AF 52 BF 26 B6 AF D1 00 00 00 00 00 00 00 00 00 00 00 00 
Mon Jul  6 05:16:08.881 [0000003C] 00 00 00 00 
Mon Jul  6 05:16:08.881 <kernel> KEY MIC:
Mon Jul  6 05:16:08.881 [00000000] BF 53 A7 0D 14 17 82 4E EB B4 B3 09 B8 FF 56 87 
Mon Jul  6 05:16:08.881 <kernel> process1of4: sending replyPacket 153 bytes
Mon Jul  6 05:16:08.888 <kernel> en0: Received EAPOL packet (length = 201)
Mon Jul  6 05:16:08.889 <kernel> inputEAPOLFrame: 0 extra bytes present in EAPOL frame.
Mon Jul  6 05:16:08.889 <kernel> inputEAPOLFrame: decrypting key data
Mon Jul  6 05:16:08.890 <kernel> inputEAPOLFrame: Received message 3 of 4
Mon Jul  6 05:16:08.890 <kernel> process3of4: Performing IE check.
Mon Jul  6 05:16:08.890 <kernel> process3of4: sending replyPacket ( len = 113 ).
Mon Jul  6 05:16:08.890 <kernel> process3of4: received pairwise GTK
Mon Jul  6 05:16:08.890 <kernel> process3of4: received pairwise GTK_BIP 
Mon Jul  6 05:16:08.890 <kernel> ptkThread: Sleeping!
Mon Jul  6 05:16:08.890 <kernel> ptkThread: Sleeping!
Mon Jul  6 05:16:08.890 <kernel> ptkThread: Installing PTK!
Mon Jul  6 05:16:08.890 <kernel> PTK:
Mon Jul  6 05:16:08.890 [00000000] 68 5A 0F A9 AC 33 8F F3 B8 AF 52 BF 26 B6 AF D1 
Mon Jul  6 05:16:08.890 <kernel> ptkThread: Installing GTK!
Mon Jul  6 05:16:08.890 <kernel> installGTK: setting cipher key (flags = 0x0)
Mon Jul  6 05:16:08.890 <kernel> GTK-RSC:
Mon Jul  6 05:16:08.890 [00000000] 00 00 00 00 00 00 
Mon Jul  6 05:16:08.890 <kernel> GTK:
Mon Jul  6 05:16:08.890 [00000000] A6 60 48 75 9D 0E 17 9D E7 72 64 CB FD 6B C0 08 
Mon Jul  6 05:16:08.890 <kernel> installGTK: GTK installed
Mon Jul  6 05:16:08.890 <kernel> IGTK-RSC:
Mon Jul  6 05:16:08.890 [00000000] 00 00 00 00 00 00 
Mon Jul  6 05:16:08.890 <kernel> IGTK:
Mon Jul  6 05:16:08.890 [00000000] BC 66 07 FB 9E F8 57 BB F4 7D A9 C4 4B D4 29 8D 
Mon Jul  6 05:16:08.890 <kernel> installGTK: IGTK installed
Mon Jul  6 05:16:08.998 <airport[198]> -[dpsManager handleDPSEventWithType:eventInfo:networkName:BSSID:channelInfo:isCriticalAppInUse:]_block_invoke: Ignoring non-dps events while not in monitoring period/ Ignoring DPS event while in monitoring period
Mon Jul  6 05:16:09.017 <airport[198]> ERROR: sharingd (471) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 05:16:09.021 <airport[198]> ERROR: rapportd (413) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 05:16:09.034 <airport[198]> ERROR: sharingd (471) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 05:16:09.039 <airport[198]> ERROR: rapportd (413) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 05:16:09.042 <airport[198]> ERROR: sharingd (471) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 05:16:09.047 <airport[198]> ERROR: rapportd (413) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 05:16:09.255 <kernel> Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0
Mon Jul  6 05:16:09.290 <airport[198]> systemWokenByWiFi: System Wake Reason not found
Mon Jul  6 05:16:09.299 <airport[198]> systemWokenByWiFi: System Wake Reason not found
Mon Jul  6 05:16:11.620 <airport[198]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Mon Jul  6 05:16:15.496 <airport[198]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Mon Jul  6 05:16:15.803 <airport[198]> -[dpsManager handleDPSEventWithType:eventInfo:networkName:BSSID:channelInfo:isCriticalAppInUse:]_block_invoke: Ignoring non-dps events while not in monitoring period/ Ignoring DPS event while in monitoring period
Mon Jul  6 05:16:18.887 <airport[198]> -[dpsManager handleDPSEventWithType:eventInfo:networkName:BSSID:channelInfo:isCriticalAppInUse:]_block_invoke: Ignoring non-dps events while not in monitoring period/ Ignoring DPS event while in monitoring period
Mon Jul  6 05:16:18.890 <airport[198]> -[dpsManager handleDPSEventWithType:eventInfo:networkName:BSSID:channelInfo:isCriticalAppInUse:]_block_invoke: Ignoring non-dps events while not in monitoring period/ Ignoring DPS event while in monitoring period
Mon Jul  6 06:21:07.932 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Mon Jul  6 06:21:07.932 <kernel> wl0: setup_keepalive: Local IP: 192.168.152.111
Mon Jul  6 06:21:07.932 <kernel> wl0: setup_keepalive: Remote IP: 17.57.144.138
Mon Jul  6 06:21:07.933 <kernel> wl0: setup_keepalive: Local port: 49255, Remote port: 5223
Mon Jul  6 06:21:07.933 <kernel> wl0: setup_keepalive: Seq: 3701827251, Ack: 403646425, Win size: 2048
Mon Jul  6 06:21:07.933 <kernel> wl0: MDNS: IPV4 Addr: 192.168.152.111
Mon Jul  6 06:21:07.933 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:47f:4ac7:538d:e07d
Mon Jul  6 06:21:07.933 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:18e6:e8c2:9e8d:5e55
Mon Jul  6 06:21:07.933 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:ac2a:2983:b099:6a1c
Mon Jul  6 06:21:07.933 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Mon Jul  6 06:21:07.941 <kernel>  IOCTL (from pid 198) not recognized: 216 out of 380
Mon Jul  6 06:21:07.941 <kernel>  IOCTL (from pid 198) not recognized: 216 out of 380
Mon Jul  6 07:09:44.001 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Mon Jul  6 07:09:44.001 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Mon Jul  6 07:09:44.001 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 3701827251, Ack: 403646425, Win size: 2048
Mon Jul  6 07:09:44.001 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 3701827705, Ack 403646425, Win size 249
Mon Jul  6 07:09:44.005 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Mon Jul  6 07:09:44.005 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Mon Jul  6 07:09:44.005 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Mon Jul  6 07:09:44.019 <airport[198]> _configureTCPKeepAlive: Unable to enable TCP keep-alive on en0 (Device power is off)
Mon Jul  6 07:09:44.031 <kernel>  IOCTL (from pid 198) not recognized: 381 out of 380
Mon Jul  6 07:09:44.712 <kernel> en0: setting diversity to: -1
Mon Jul  6 07:09:44.712 <kernel> en0: Error configuring antenna diversity (index = -1).
Mon Jul  6 07:09:44.712 <kernel> en0: setting tx antenna: -1
Mon Jul  6 07:09:44.712 <kernel> en0: Error configuring transmit antenna (index = -1).
Mon Jul  6 07:09:44.747 <airport[198]> ERROR: rapportd (413) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 07:09:44.749 <airport[198]> ERROR: sharingd (471) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 07:09:44.830 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Mon Jul  6 07:09:55.445 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Mon Jul  6 07:09:55.445 <kernel> wl0: setup_keepalive: Local IP: 192.168.152.111
Mon Jul  6 07:09:55.445 <kernel> wl0: setup_keepalive: Remote IP: 17.57.144.138
Mon Jul  6 07:09:55.446 <kernel> wl0: setup_keepalive: Local port: 49255, Remote port: 5223
Mon Jul  6 07:09:55.446 <kernel> wl0: setup_keepalive: Seq: 3701827799, Ack: 403646449, Win size: 2048
Mon Jul  6 07:09:55.446 <kernel> wl0: MDNS: IPV4 Addr: 192.168.152.111
Mon Jul  6 07:09:55.446 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:47f:4ac7:538d:e07d
Mon Jul  6 07:09:55.446 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:18e6:e8c2:9e8d:5e55
Mon Jul  6 07:09:55.446 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:ac2a:2983:b099:6a1c
Mon Jul  6 07:09:55.446 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Mon Jul  6 07:15:21.003 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Mon Jul  6 07:15:21.003 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Mon Jul  6 07:15:21.003 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 3701827799, Ack: 403646449, Win size: 2048
Mon Jul  6 07:15:21.003 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 3701827799, Ack 403646449, Win size 249
Mon Jul  6 07:15:21.003 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Mon Jul  6 07:15:21.003 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Mon Jul  6 07:15:21.003 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Mon Jul  6 07:15:21.020 <airport[198]> airportdProcessDLILEvent: <en0> event=1, flags=0xFFFF8863, lastPowerPref=on
Mon Jul  6 07:15:21.020 <airport[198]> airportdProcessDLILEvent: en0 marked UP, applying user power preferences (ON).
Mon Jul  6 07:15:21.020 <airport[198]> airportdProcessDLILEvent: <en0> Setting power ON
Mon Jul  6 07:15:21.024 <airport[198]> _configureTCPKeepAlive: Unable to enable TCP keep-alive on en0 (Operation not supported)
Mon Jul  6 07:15:21.704 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Mon Jul  6 07:15:21.859 <airport[198]> ERROR: sharingd (471) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 07:15:21.865 <airport[198]> ERROR: rapportd (413) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 07:15:46.150 Apple80211Set:10289 Processing APPLE80211_IOC_ROAM
Mon Jul  6 07:15:46.151 Apple80211Set:10303 Processing APPLE80211_IOC_ROAM dataRef:0x7fd7cb837cb0
Mon Jul  6 07:15:46.151 Apple80211Set:10324 CFType is CFData
Mon Jul  6 07:39:44.504 <airport[198]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Mon Jul  6 07:39:45.201 <airport[198]> -[dpsManager handleDPSEventWithType:eventInfo:networkName:BSSID:channelInfo:isCriticalAppInUse:]_block_invoke: Ignoring non-dps events while not in monitoring period/ Ignoring DPS event while in monitoring period
Mon Jul  6 08:10:04.855 <airport[198]> -[dpsManager handleDPSEventWithType:eventInfo:networkName:BSSID:channelInfo:isCriticalAppInUse:]_block_invoke: Ignoring non-dps events while not in monitoring period/ Ignoring DPS event while in monitoring period
Mon Jul  6 08:10:04.857 <airport[198]> -[dpsManager handleDPSEventWithType:eventInfo:networkName:BSSID:channelInfo:isCriticalAppInUse:]_block_invoke: Ignoring non-dps events while not in monitoring period/ Ignoring DPS event while in monitoring period
Mon Jul  6 08:10:04.895 <airport[198]> -[dpsManager handleDPSEventWithType:eventInfo:networkName:BSSID:channelInfo:isCriticalAppInUse:]_block_invoke: Ignoring non-dps events while not in monitoring period/ Ignoring DPS event while in monitoring period
Mon Jul  6 08:10:05.616 <airport[198]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Mon Jul  6 08:36:53.035 <airport[198]> __SymptomsMgrDNSFailureSymptomsCallback: __SymptomsMgrDNSFailureSymptomsCallback called at 805037813.035371
Mon Jul  6 08:36:53.037 <airport[198]> __SymptomsMgrDNSFailureSymptomsCallback: __SymptomsMgrDNSFailureSymptomsCallback called at 805037813.037036
Mon Jul  6 08:36:53.045 <airport[198]> Could not set property APPLE80211_REGKEY_DPS_SYMPTOMS_INPUT_PARAMS
Mon Jul  6 08:36:53.047 <airport[198]> Could not set property APPLE80211_REGKEY_DPS_SYMPTOMS_INPUT_PARAMS
Mon Jul  6 08:37:28.483 <airport[198]> __SymptomsMgrDNSFailureSymptomsCallback: __SymptomsMgrDNSFailureSymptomsCallback called at 805037848.483883
Mon Jul  6 08:37:28.487 <airport[198]> Could not set property APPLE80211_REGKEY_DPS_SYMPTOMS_INPUT_PARAMS
Mon Jul  6 09:23:54.516 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Mon Jul  6 09:23:54.517 <kernel> wl0: setup_keepalive: Local IP: 192.168.152.111
Mon Jul  6 09:23:54.517 <kernel> wl0: setup_keepalive: Remote IP: 17.57.144.138
Mon Jul  6 09:23:54.517 <kernel> wl0: setup_keepalive: Local port: 49255, Remote port: 5223
Mon Jul  6 09:23:54.517 <kernel> wl0: setup_keepalive: Seq: 3701829635, Ack: 403646761, Win size: 2048
Mon Jul  6 09:23:54.517 <kernel> wl0: MDNS: IPV4 Addr: 192.168.152.111
Mon Jul  6 09:23:54.517 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:47f:4ac7:538d:e07d
Mon Jul  6 09:23:54.517 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:18e6:e8c2:9e8d:5e55
Mon Jul  6 09:23:54.517 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:e060:7e6e:8ca6:b0d
Mon Jul  6 09:23:54.517 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Mon Jul  6 09:46:37.001 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Mon Jul  6 09:46:37.001 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Mon Jul  6 09:46:37.001 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 3701829635, Ack: 403646761, Win size: 2048
Mon Jul  6 09:46:37.001 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 3701830069, Ack 403646761, Win size 249
Mon Jul  6 09:46:37.001 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Mon Jul  6 09:46:37.002 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Mon Jul  6 09:46:37.002 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Mon Jul  6 09:46:37.037 <airport[198]> airportdProcessDLILEvent: <en0> event=1, flags=0xFFFF8863, lastPowerPref=on
Mon Jul  6 09:46:37.037 <airport[198]> airportdProcessDLILEvent: en0 marked UP, applying user power preferences (ON).
Mon Jul  6 09:46:37.037 <airport[198]> airportdProcessDLILEvent: <en0> Setting power ON
Mon Jul  6 09:46:37.041 <airport[198]> _configureTCPKeepAlive: Unable to enable TCP keep-alive on en0 (Operation not supported)
Mon Jul  6 09:46:37.718 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Mon Jul  6 09:46:37.866 <airport[198]> ERROR: sharingd (471) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 09:46:37.866 <airport[198]> ERROR: rapportd (413) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 09:47:01.629 Apple80211Set:10289 Processing APPLE80211_IOC_ROAM
Mon Jul  6 09:47:01.630 Apple80211Set:10303 Processing APPLE80211_IOC_ROAM dataRef:0x7fd7caf1c190
Mon Jul  6 09:47:01.630 Apple80211Set:10324 CFType is CFData
Mon Jul  6 10:16:37.359 <airport[198]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Mon Jul  6 10:16:37.666 <airport[198]> -[dpsManager handleDPSEventWithType:eventInfo:networkName:BSSID:channelInfo:isCriticalAppInUse:]_block_invoke: Ignoring non-dps events while not in monitoring period/ Ignoring DPS event while in monitoring period
Mon Jul  6 10:16:38.640 <airport[198]> -[dpsManager handleDPSEventWithType:eventInfo:networkName:BSSID:channelInfo:isCriticalAppInUse:]_block_invoke: Ignoring non-dps events while not in monitoring period/ Ignoring DPS event while in monitoring period
Mon Jul  6 10:16:59.094 <kernel> Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0
Mon Jul  6 10:17:14.136 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Mon Jul  6 10:17:14.137 <kernel> wl0: setup_keepalive: Local IP: 192.168.152.111
Mon Jul  6 10:17:14.137 <kernel> wl0: setup_keepalive: Remote IP: 17.57.144.138
Mon Jul  6 10:17:14.137 <kernel> wl0: setup_keepalive: Local port: 49255, Remote port: 5223
Mon Jul  6 10:17:14.137 <kernel> wl0: setup_keepalive: Seq: 3701831165, Ack: 403646857, Win size: 2048
Mon Jul  6 10:17:14.137 <kernel> wl0: MDNS: IPV4 Addr: 192.168.152.111
Mon Jul  6 10:17:14.137 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:47f:4ac7:538d:e07d
Mon Jul  6 10:17:14.137 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:18e6:e8c2:9e8d:5e55
Mon Jul  6 10:17:14.137 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:e060:7e6e:8ca6:b0d
Mon Jul  6 10:17:14.137 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Mon Jul  6 10:21:27.001 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Mon Jul  6 10:21:27.002 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Mon Jul  6 10:21:27.002 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 3701831165, Ack: 403646857, Win size: 2048
Mon Jul  6 10:21:27.002 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 3701831193, Ack 403646905, Win size 249
Mon Jul  6 10:21:27.002 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Mon Jul  6 10:21:27.002 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Mon Jul  6 10:21:27.002 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Mon Jul  6 10:21:27.015 <airport[198]> _configureTCPKeepAlive: Unable to enable TCP keep-alive on en0 (Device power is off)
Mon Jul  6 10:21:27.027 <kernel>  IOCTL (from pid 198) not recognized: 381 out of 380
Mon Jul  6 10:21:27.712 <kernel> en0: setting diversity to: -1
